Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
127795,regdw000000004661061,2,2020-09-10 0:00:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127795,regdw000000004663683,2,2020-09-11 0:00:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,Canadian Food Inspection Agency,AS
127795,regdw000000004668811,2,2020-09-14 0:00:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,LEGS
127796,regdw000000004666009,2,2020-09-14 0:00:00,I634,Cultivating Cross-functional Team Collaboration (I634),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
127797,regdw000000004613914,2,2020-08-20 0:00:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,Statistics Canada,CR
127797,regdw000000004658114,2,2020-09-09 0:00:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127797,regdw000000004661322,2,2020-09-10 0:00:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
127797,regdw000000004670406,2,2020-09-15 0:00:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,English/Anglais,0,Confirmed,Department of Justice,CR
127803,regdw000000004611243,2,2020-08-19 0:00:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,WP
127803,regdw000000004612966,2,2020-08-19 0:00:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127803,regdw000000004652809,2,2020-09-07 0:00:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,Department of National Defence (Civilian),FI
127803,regdw000000004659484,2,2020-09-10 0:00:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,AS
127863,regdw000000004632274,2,2020-08-31 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Cancelled,Unknown,AS
128105,regdw000000004660878,2,2020-09-10 0:00:00,I629,Transforming the Workplace Using Artificial Intelligence (I629),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SU
128112,regdw000000004664532,2,2020-09-11 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Environment and Climate Change Canada,EG
128112,regdw000000004666387,2,2020-09-14 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SU
128112,regdw000000004672337,2,2020-09-16 0:00:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,FS
128130,regdw000000004664240,2,2020-09-11 0:00:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Cancelled,Shared Services Canada,CS
128130,regdw000000004665940,2,2020-09-14 0:00:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Unknown
128130,regdw000000004671316,2,2020-09-15 0:00:00,I614,Using Augmented Reality for Organizational Gains (I614),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,SP
127873,regdw000000004664693,2,2020-09-11 0:00:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
128010,regdw000000004670743,2,2020-09-15 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,English/Anglais,0,Confirmed,Natural Resources Canada,SERES
128010,regdw000000004673093,2,2020-09-16 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,English/Anglais,0,Confirmed,Public Services and Procurement Canada,DAPRO
128023,regdw000000004666258,2,2020-09-14 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
128029,regdw000000004666631,2,2020-09-14 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128030,regdw000000004666644,2,2020-09-14 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
128063,regdw000000004667369,2,2020-09-14 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128064,regdw000000004656816,2,2020-09-09 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,French/Français,0,Cancelled,Unknown,AS
