Department (en),Learner Province (en),Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Registration Status (en),Offering Status,Instructor Name
Canadian Food Inspection Agency,Ontario_NCR,2020-09-09 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Food Inspection Agency,Ontario_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Canadian Food Inspection Agency,Ontario_NCR,2020-09-17 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Food Inspection Agency,Ontario_NCR,2020-09-18 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Food Inspection Agency,Ontario_NCR,2020-09-18 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Food Inspection Agency,Ontario_NCR,2020-09-22 0:00,I558,Agile Stakeholder Engagement and Team Development (I558),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Food Inspection Agency,Ontario_NCR,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Canadian Food Inspection Agency,Ontario_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canadian Food Inspection Agency,Saskatchewan,2020-08-13 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Grain Commission,Manitoba,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canadian Grain Commission,Manitoba,2020-09-04 0:00,I557,Developing and Supporting an Agile Mind-set (I557),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Grain Commission,Manitoba,2020-09-04 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Human Rights Commission,Ontario_NCR,2020-08-18 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Cancelled - Normal,Unknown
Canadian Human Rights Commission,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Canadian Institutes of Health Research,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canadian Institutes of Health Research,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Canadian Nuclear Safety Commission,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canadian Nuclear Safety Commission,Ontario_NCR,2020-09-14 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Nuclear Safety Commission,Québec_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canadian Radio-television and Telecommunications Commission,Québec_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Canadian Radio-television and Telecommunications Commission,Québec_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Canadian Space Agency,Outside Canada,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canadian Space Agency,Quebec,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Canadian Space Agency,Quebec,2020-09-09 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Space Agency,Quebec,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Canadian Space Agency,Quebec,2020-09-16 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,French/Français,0,Cancelled,N/a,Unknown
Canadian Space Agency,Quebec,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Canadian Space Agency,Quebec,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canadian Space Agency,Quebec,2020-11-10 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Canadian Space Agency,Quebec,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Canadian Space Agency,Quebec,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canadian Space Agency,Québec_NCR,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Canadian Transportation Accident Investigation and Safety Board,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Canadian Transportation Accident Investigation and Safety Board,Québec_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Canadian Transportation Agency,NCR/RCN,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Canadian Transportation Agency,Québec_NCR,2020-09-11 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Transportation Agency,Québec_NCR,2020-09-12 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Canadian Transportation Agency,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Canadian Transportation Agency,Québec_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Canadian Transportation Agency,Québec_NCR,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Communications Security Establishment,NCR/RCN,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Jean-Marc Dupont
Communications Security Establishment,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Communications Security Establishment,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Communications Security Establishment,Ontario_NCR,2020-08-12 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-08-17 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-08-18 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-08-18 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-08-19 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-08-19 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-08 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-09 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-11 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Communications Security Establishment,Ontario_NCR,2020-09-14 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-15 0:00,I611,Connecting with the Internet of Things (I611),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-17 0:00,I524,Turning Social Intelligence into Actionable Insight (I524),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-17 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-17 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-22 0:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Communications Security Establishment,Ontario_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Communications Security Establishment,Outside Canada,2020-08-20 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Outside Canada,2020-08-20 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Communications Security Establishment,Outside Canada,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Correctional Service of Canada,British Columbia,2020-09-08 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Correctional Service of Canada,British Columbia,2020-09-17 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Correctional Service of Canada,British Columbia,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Correctional Service of Canada,British Columbia,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Correctional Service of Canada,Ontario,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Correctional Service of Canada,Ontario,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Correctional Service of Canada,Ontario,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Correctional Service of Canada,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,Unknown
Correctional Service of Canada,Ontario_NCR,2020-08-27 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Correctional Service of Canada,Ontario_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,1,Cancelled,Delivered - Normal,Isa David
Correctional Service of Canada,Ontario_NCR,2020-09-16 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Correctional Service of Canada,Ontario_NCR,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Correctional Service of Canada,Ontario_NCR,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Isa David
Correctional Service of Canada,Quebec,2020-09-17 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Correctional Service of Canada,Quebec,2020-09-17 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Correctional Service of Canada,Quebec,2020-09-19 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Correctional Service of Canada,Québec_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Courts Administration Service,Ontario,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Courts Administration Service,Ontario_NCR,2020-08-31 0:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Courts Administration Service,Ontario_NCR,2020-09-08 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Courts Administration Service,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Courts Administration Service,Quebec,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Crown-Indigenous Relations and Northern Affairs Canada,Alberta,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Crown-Indigenous Relations and Northern Affairs Canada,NCR/RCN,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Crown-Indigenous Relations and Northern Affairs Canada,Nova Scotia,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Crown-Indigenous Relations and Northern Affairs Canada,Ontario_NCR,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Elizabeth McKeown
Crown-Indigenous Relations and Northern Affairs Canada,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Crown-Indigenous Relations and Northern Affairs Canada,Québec_NCR,2020-09-03 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Crown-Indigenous Relations and Northern Affairs Canada,Québec_NCR,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of Agriculture and Agri-Food,Alberta,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of Agriculture and Agri-Food,British Columbia,2020-09-17 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,New Brunswick,2020-09-16 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Nova Scotia,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Agriculture and Agri-Food,Ontario,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Department of Agriculture and Agri-Food,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Department of Agriculture and Agri-Food,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Department of Agriculture and Agri-Food,Ontario_NCR,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Department of Agriculture and Agri-Food,Ontario_NCR,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
Department of Agriculture and Agri-Food,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Open - Normal,"Daniel Richer, Felicity Mulgan"
Department of Agriculture and Agri-Food,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Agriculture and Agri-Food,Ontario_NCR,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Agriculture and Agri-Food,Ontario_NCR,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Agriculture and Agri-Food,Ontario_NCR,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Agriculture and Agri-Food,Quebec,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Jean-Marc Dupont
Department of Agriculture and Agri-Food,Quebec,2020-09-16 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Quebec,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Agriculture and Agri-Food,Quebec,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Isa David
Department of Agriculture and Agri-Food,Québec_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Department of Agriculture and Agri-Food,Saskatchewan,2020-08-12 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Saskatchewan,2020-08-18 0:00,I613,Creating Engagement with Virtual Reality (I613),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Saskatchewan,2020-09-22 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Saskatchewan,2020-09-23 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Agriculture and Agri-Food,Saskatchewan,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Department of Canadian Heritage,Québec_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Department of Canadian Heritage,Québec_NCR,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Richard Landry"
Department of Canadian Heritage,Québec_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Department of Canadian Heritage,Québec_NCR,2020-09-14 0:00,I635,Cultivating Enterprise Agile (I635),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
Department of Canadian Heritage,Québec_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,Isa David
Department of Canadian Heritage,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of Canadian Heritage,Québec_NCR,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of Canadian Heritage,Québec_NCR,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
Department of Canadian Heritage,Québec_NCR,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Canadian Heritage,Québec_NCR,2020-10-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Department of Canadian Heritage,Québec_NCR,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Richard Landry
Department of Citizenship and Immigration,NCR/RCN,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Department of Citizenship and Immigration,Newfoundland and Labrador,2020-09-23 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Department of Citizenship and Immigration,Newfoundland and Labrador,2020-09-23 0:00,I632,Agile Principles and Methodologies (I632),Online - Self-paced,English/Anglais,0,Cancelled,N/a,Unknown
Department of Citizenship and Immigration,Nova Scotia,2020-08-14 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Nova Scotia,2020-09-23 0:00,I633,Agile Project Scheduling and Monitoring (I633),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Nova Scotia,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Department of Citizenship and Immigration,Ontario,2020-08-14 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario,2020-09-14 0:00,I502,Best Practices for Digital Transformation (I502),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Cancelled,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
Department of Citizenship and Immigration,Ontario_NCR,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
Department of Citizenship and Immigration,Ontario_NCR,2020-08-18 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-08-18 0:00,I610,Achieving Customer-centric Design with User Personas (I610),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-08-18 0:00,I631,Achieving Digital Dexterity (I631),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-09-09 0:00,I520,Big Data Fundamentals (I520),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-09-09 0:00,I605,Building a Culture of Design Thinking (I605),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Delivered - Normal,Isa David
Department of Citizenship and Immigration,Ontario_NCR,2020-09-18 0:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-09-22 0:00,I503,Agile Project Planning (I503),Online - Self-paced,English/Anglais,0,Confirmed,N/a,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of Citizenship and Immigration,Ontario_NCR,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,"Daniel Richer, Felicity Mulgan"
Department of Citizenship and Immigration,Ontario_NCR,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Unknown
Department of Citizenship and Immigration,Ontario_NCR,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of Citizenship and Immigration,Ontario_NCR,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Confirmed,Open - Normal,Jean-Marc Dupont
Department of Citizenship and Immigration,Ontario_NCR,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Confirmed,Open - Normal,Elizabeth McKeown
Department of Citizenship and Immigration,Outside Canada,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Confirmed,Delivered - Normal,Elizabeth McKeown
Department of Citizenship and Immigration,Outside Canada,2020-09-18 0:00,I615,Applying Virtual Assistant Technology (I615),Online - Self-paced,French/Français,0,Confirmed,N/a,Unknown
