Learner Location,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Registration No Show Flag,Offering Status,Instructor Name
KINGSTON,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,"Daniel Richer, Felicity Mulgan"
KINGSTON,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
LAKE LOUISE,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
LAVAL,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
LAVAL,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
LETHBRIDGE,2020-09-25 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Open - Normal,"Daniel Richer, Jean-Marc Dupont"
LÉVIS,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
LONDON,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
LONGUEUIL,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
LONGUEUIL,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
LONGUEUIL,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
MISSISSAUGA,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,Elizabeth McKeown
MISSISSAUGA,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
MISSISSAUGA,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,"Daniel Richer, Felicity Mulgan"
MISSISSAUGA,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
MISSISSAUGA,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
MISSISSAUGA,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
MISSISSAUGA,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
MONCTON,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
MONCTON,2020-07-29 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Jean-Marc Dupont"
MONCTON,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
MONCTON,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
MONCTON,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
MONCTON,2020-11-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
MONCTON,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
MONCTON,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
MONTRÉAL,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
MONTRÉAL,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Richard Landry"
MONTRÉAL,2020-08-11 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Cancelled - Normal,Unknown
MONTRÉAL,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
MONTRÉAL,2020-09-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Delivered - Normal,Isa David
MONTRÉAL,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
MONTRÉAL,2020-09-21 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,1,Delivered - Normal,"Daniel Richer, Jean-Marc Dupont"
MONTRÉAL,2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
MONTRÉAL,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
MONTRÉAL,2020-10-19 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Jean-Marc Dupont
MONTRÉAL,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
MONTRÉAL,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
MONTRÉAL,2020-11-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
MONTRÉAL,2020-11-16 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
MONTRÉAL,2020-12-07 0:00,I602,Digital in Practice (I602),Virtual Classroom,French/Français,0,Open - Normal,Isa David
MONTRÉAL,2020-12-15 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
NANAIMO,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
NATIONAL CAPITAL REGION (NCR),2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
NATIONAL CAPITAL REGION (NCR),2020-10-05 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,French/Français,0,Open - Normal,Unknown
NCR/RCN,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,Elizabeth McKeown
NCR/RCN,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
NCR/RCN,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,1,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
NCR/RCN,2020-07-20 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,French/Français,0,Delivered - Normal,"Daniel Richer, Richard Landry"
NCR/RCN,2020-09-14 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Felicity Mulgan"
NCR/RCN,2020-09-22 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
NCR/RCN,2020-09-28 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Open - Normal,"Daniel Richer, Felicity Mulgan"
NCR/RCN,2020-10-09 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
NCR/RCN,2020-10-21 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
NCR/RCN,2020-11-06 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
NCR/RCN,2020-11-18 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Isa David
NCR/RCN,2021-01-12 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Elizabeth McKeown
NORTH YORK,2020-09-08 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Delivered - Normal,Jean-Marc Dupont
NORTH YORK,2020-10-13 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Jean-Marc Dupont
NORTH YORK,2020-10-30 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
NORTH YORK,2020-12-02 0:00,I602,Digital in Practice (I602),Virtual Classroom,English/Anglais,0,Open - Normal,Richard Landry
OTTAWA,2020-07-06 0:00,I621,Getting Started with Cloud Computing (I621),Virtual Classroom,English/Anglais,0,Open - Normal,Unknown
OTTAWA,2020-07-09 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,Elizabeth McKeown
OTTAWA,2020-07-17 0:00,I500,Discover Digital for Executives (I500),Virtual Classroom,English/Anglais,0,Delivered - Normal,"Elizabeth McKeown, Richard Landry"
